# == pyFAI calibration ==
# Distance Sample to Detector: 0.23901849966608074 m
# PONI: 2.853e-01, 1.238e-01 m
# Rotations: -0.000136 0.001317 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 239.019 mm
# Center: x=720.196, y=1660.328 pix
# Tilt: 0.076 deg  TiltPlanRot: 84.085 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 6.94369802997835e-11 m
# Mask applied: False
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> lab6_100_00_0001p.xy
#       2th_deg             I 
  5.273658e-03    6.161807e+00
  1.582097e-02    7.004750e+00
  2.636829e-02    6.551240e+00
  3.691560e-02    6.303362e+00
  4.746292e-02    7.347855e+00
  5.801024e-02    7.638856e+00
  6.855755e-02    7.390420e+00
  7.910487e-02    8.015614e+00
  8.965218e-02    8.377712e+00
  1.001995e-01    8.415752e+00
  1.107468e-01    8.206183e+00
  1.212941e-01    7.796489e+00
  1.318414e-01    8.026998e+00
  1.423888e-01    7.871627e+00
  1.529361e-01    7.982856e+00
  1.634834e-01    8.392108e+00
  1.740307e-01    8.753009e+00
  1.845780e-01    8.636068e+00
  1.951253e-01    8.565391e+00
  2.056727e-01    8.602431e+00
  2.162200e-01    8.295899e+00
  2.267673e-01    7.950799e+00
  2.373146e-01    7.834363e+00
  2.478619e-01    7.870446e+00
  2.584092e-01    7.862186e+00
  2.689566e-01    8.171346e+00
  2.795039e-01    8.431899e+00
  2.900512e-01    8.742990e+00
  3.005985e-01    8.738302e+00
  3.111458e-01    8.691531e+00
  3.216931e-01    8.558805e+00
  3.322404e-01    8.300361e+00
  3.427878e-01    8.414339e+00
  3.533351e-01    8.314144e+00
  3.638824e-01    8.343120e+00
  3.744297e-01    8.476521e+00
  3.849770e-01    8.565032e+00
  3.955243e-01    8.545926e+00
  4.060717e-01    8.379607e+00
  4.166190e-01    8.332695e+00
  4.271663e-01    8.364388e+00
  4.377136e-01    8.494492e+00
  4.482609e-01    8.551722e+00
  4.588082e-01    8.767620e+00
  4.693555e-01    8.949326e+00
  4.799029e-01    8.894782e+00
  4.904502e-01    8.599721e+00
  5.009975e-01    8.544815e+00
  5.115448e-01    8.368557e+00
  5.220921e-01    8.312611e+00
  5.326394e-01    8.212536e+00
  5.431868e-01    8.168513e+00
  5.537341e-01    8.130176e+00
  5.642814e-01    8.072715e+00
  5.748287e-01    7.917192e+00
  5.853760e-01    7.977501e+00
  5.959233e-01    7.997468e+00
  6.064707e-01    8.250567e+00
  6.170180e-01    8.262540e+00
  6.275653e-01    8.336865e+00
  6.381126e-01    8.434067e+00
  6.486599e-01    8.523825e+00
  6.592072e-01    8.572575e+00
  6.697545e-01    8.704251e+00
  6.803019e-01    8.924871e+00
  6.908492e-01    9.269560e+00
  7.013965e-01    9.360580e+00
  7.119438e-01    1.008194e+01
  7.224911e-01    1.080957e+01
  7.330384e-01    1.200935e+01
  7.435858e-01    1.399706e+01
  7.541331e-01    1.613149e+01
  7.646804e-01    2.004637e+01
  7.752277e-01    2.392401e+01
  7.857750e-01    2.680088e+01
  7.963223e-01    3.153981e+01
  8.068697e-01    3.784638e+01
  8.174170e-01    4.179179e+01
  8.279643e-01    4.703145e+01
  8.385116e-01    5.277452e+01
  8.490589e-01    6.006901e+01
  8.596062e-01    6.594088e+01
  8.701535e-01    7.134414e+01
  8.807009e-01    7.832259e+01
  8.912482e-01    8.771046e+01
  9.017955e-01    9.384637e+01
  9.123428e-01    1.002329e+02
  9.228901e-01    1.102147e+02
  9.334374e-01    1.187819e+02
  9.439848e-01    1.272734e+02
  9.545321e-01    1.349142e+02
  9.650794e-01    1.461749e+02
  9.756267e-01    1.557700e+02
  9.861740e-01    1.652175e+02
  9.967213e-01    1.732485e+02
  1.007269e+00    1.832800e+02
  1.017816e+00    1.947943e+02
  1.028363e+00    2.030975e+02
  1.038911e+00    2.113426e+02
  1.049458e+00    2.226832e+02
  1.060005e+00    2.326997e+02
  1.070553e+00    2.427524e+02
  1.081100e+00    2.496816e+02
  1.091647e+00    2.616828e+02
  1.102194e+00    2.723275e+02
  1.112742e+00    2.820581e+02
  1.123289e+00    2.886233e+02
  1.133836e+00    3.004598e+02
  1.144384e+00    3.094330e+02
  1.154931e+00    3.195728e+02
  1.165478e+00    3.262896e+02
  1.176026e+00    3.363045e+02
  1.186573e+00    3.460860e+02
  1.197120e+00    3.546525e+02
  1.207668e+00    3.591565e+02
  1.218215e+00    3.699273e+02
  1.228762e+00    3.780736e+02
  1.239310e+00    3.853861e+02
  1.249857e+00    3.884955e+02
  1.260404e+00    3.992668e+02
  1.270952e+00    4.064226e+02
  1.281499e+00    4.138201e+02
  1.292046e+00    4.175954e+02
  1.302593e+00    4.266820e+02
  1.313141e+00    4.327582e+02
  1.323688e+00    4.397369e+02
  1.334235e+00    4.438925e+02
  1.344783e+00    4.517289e+02
  1.355330e+00    4.605157e+02
  1.365877e+00    4.667710e+02
  1.376425e+00    4.701562e+02
  1.386972e+00    4.795287e+02
  1.397519e+00    4.854276e+02
  1.408067e+00    4.887580e+02
  1.418614e+00    4.937321e+02
  1.429161e+00    5.006029e+02
  1.439709e+00    5.075977e+02
  1.450256e+00    5.135359e+02
  1.460803e+00    5.195028e+02
  1.471351e+00    5.263834e+02
  1.481898e+00    5.324828e+02
  1.492445e+00    5.344467e+02
  1.502992e+00    5.389246e+02
  1.513540e+00    5.449130e+02
  1.524087e+00    5.525481e+02
  1.534634e+00    5.551146e+02
  1.545182e+00    5.609030e+02
  1.555729e+00    5.690605e+02
  1.566276e+00    5.730427e+02
  1.576824e+00    5.724791e+02
  1.587371e+00    5.762136e+02
  1.597918e+00    5.816406e+02
  1.608466e+00    5.865852e+02
  1.619013e+00    5.862626e+02
  1.629560e+00    5.931202e+02
  1.640108e+00    5.998760e+02
  1.650655e+00    6.060694e+02
  1.661202e+00    6.069841e+02
  1.671750e+00    6.161068e+02
  1.682297e+00    6.223204e+02
  1.692844e+00    6.267658e+02
  1.703391e+00    6.252308e+02
  1.713939e+00    6.320231e+02
  1.724486e+00    6.348444e+02
  1.735033e+00    6.372043e+02
  1.745581e+00    6.372245e+02
  1.756128e+00    6.436455e+02
  1.766675e+00    6.482212e+02
  1.777223e+00    6.504917e+02
  1.787770e+00    6.497396e+02
  1.798317e+00    6.554395e+02
  1.808865e+00    6.607779e+02
  1.819412e+00    6.644985e+02
  1.829959e+00    6.665635e+02
  1.840507e+00    6.715883e+02
  1.851054e+00    6.755531e+02
  1.861601e+00    6.767855e+02
  1.872149e+00    6.787785e+02
  1.882696e+00    6.849313e+02
  1.893243e+00    6.893182e+02
  1.903790e+00    6.909662e+02
  1.914338e+00    6.946958e+02
  1.924885e+00    7.009802e+02
  1.935432e+00    7.043566e+02
