# == pyFAI calibration ==
# Distance Sample to Detector: 0.33908073478462813 m
# PONI: 2.851e-01, 1.239e-01 m
# Rotations: 0.000182 0.001326 -0.000003 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 339.081 mm
# Center: x=720.163, y=1660.441 pix
# Tilt: 0.077 deg  TiltPlanRot: 97.803 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 6.94369802997835e-11 m
# Mask applied: False
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> lab6_200_00_0001p.xy
#       2th_deg             I 
  4.280927e-03    7.000020e+00
  1.284278e-02    6.136935e+00
  2.140463e-02    5.526401e+00
  2.996649e-02    5.277566e+00
  3.852834e-02    4.689199e+00
  4.709020e-02    4.813447e+00
  5.565205e-02    4.608438e+00
  6.421390e-02    4.574143e+00
  7.277576e-02    4.819702e+00
  8.133761e-02    4.767429e+00
  8.989946e-02    4.677814e+00
  9.846132e-02    5.027434e+00
  1.070232e-01    5.040957e+00
  1.155850e-01    5.447431e+00
  1.241469e-01    5.475994e+00
  1.327087e-01    5.256144e+00
  1.412706e-01    5.382110e+00
  1.498324e-01    5.186796e+00
  1.583943e-01    5.105760e+00
  1.669561e-01    5.142853e+00
  1.755180e-01    5.020462e+00
  1.840799e-01    4.988690e+00
  1.926417e-01    5.103605e+00
  2.012036e-01    5.274810e+00
  2.097654e-01    5.261297e+00
  2.183273e-01    5.142546e+00
  2.268891e-01    5.077444e+00
  2.354510e-01    4.908473e+00
  2.440128e-01    4.970834e+00
  2.525747e-01    5.009767e+00
  2.611365e-01    5.005110e+00
  2.696984e-01    4.876952e+00
  2.782602e-01    4.859693e+00
  2.868221e-01    5.039207e+00
  2.953840e-01    4.894901e+00
  3.039458e-01    4.669704e+00
  3.125077e-01    4.706546e+00
  3.210695e-01    4.725747e+00
  3.296314e-01    4.701251e+00
  3.381932e-01    4.792468e+00
  3.467551e-01    4.879597e+00
  3.553169e-01    5.118862e+00
  3.638788e-01    5.248843e+00
  3.724406e-01    5.266246e+00
  3.810025e-01    5.159054e+00
  3.895643e-01    4.971200e+00
  3.981262e-01    4.669423e+00
  4.066881e-01    4.563621e+00
  4.152499e-01    4.606930e+00
  4.238118e-01    4.536675e+00
  4.323736e-01    4.630130e+00
  4.409355e-01    4.834858e+00
  4.494973e-01    4.952026e+00
  4.580592e-01    5.224142e+00
  4.666210e-01    5.241780e+00
  4.751829e-01    5.226172e+00
  4.837447e-01    5.159913e+00
  4.923066e-01    5.148861e+00
  5.008684e-01    5.147324e+00
  5.094303e-01    5.011467e+00
  5.179921e-01    4.968333e+00
  5.265540e-01    4.781074e+00
  5.351159e-01    4.645913e+00
  5.436777e-01    4.804414e+00
  5.522396e-01    4.970017e+00
  5.608014e-01    5.004596e+00
  5.693633e-01    5.063387e+00
  5.779251e-01    5.104198e+00
  5.864870e-01    4.994140e+00
  5.950488e-01    4.904847e+00
  6.036107e-01    4.906546e+00
  6.121725e-01    4.836160e+00
  6.207344e-01    4.805536e+00
  6.292962e-01    5.144346e+00
  6.378581e-01    5.382602e+00
  6.464200e-01    6.023735e+00
  6.549818e-01    6.961060e+00
  6.635437e-01    8.140182e+00
  6.721055e-01    9.216902e+00
  6.806674e-01    1.042455e+01
  6.892292e-01    1.302085e+01
  6.977911e-01    1.457151e+01
  7.063529e-01    1.621897e+01
  7.149148e-01    1.953303e+01
  7.234766e-01    2.159194e+01
  7.320385e-01    2.397409e+01
  7.406003e-01    2.671935e+01
  7.491622e-01    3.029237e+01
  7.577241e-01    3.312198e+01
  7.662859e-01    3.583629e+01
  7.748478e-01    4.109198e+01
  7.834096e-01    4.387700e+01
  7.919715e-01    4.676879e+01
  8.005333e-01    5.170576e+01
  8.090952e-01    5.511977e+01
