# == pyFAI calibration ==
# Distance Sample to Detector: 0.43905087123459974 m
# PONI: 2.850e-01, 1.240e-01 m
# Rotations: 0.000325 0.001283 0.000004 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 439.051 mm
# Center: x=720.094, y=1660.355 pix
# Tilt: 0.076 deg  TiltPlanRot: 104.202 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 6.94369802997835e-11 m
# Mask applied: False
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> lab6_300_00_0001p.xy
#       2th_deg             I 
  3.557198e-03    5.915393e+00
  1.067159e-02    4.121285e+00
  1.778599e-02    3.961181e+00
  2.490038e-02    3.789604e+00
  3.201478e-02    3.750335e+00
  3.912917e-02    4.196923e+00
  4.624357e-02    4.089862e+00
  5.335796e-02    4.205351e+00
  6.047236e-02    4.037850e+00
  6.758675e-02    3.811979e+00
  7.470115e-02    3.623142e+00
  8.181555e-02    3.596218e+00
  8.892994e-02    3.454288e+00
  9.604434e-02    3.532081e+00
  1.031587e-01    3.444158e+00
  1.102731e-01    3.302600e+00
  1.173875e-01    3.548164e+00
  1.245019e-01    3.648239e+00
  1.316163e-01    3.698988e+00
  1.387307e-01    3.756813e+00
  1.458451e-01    3.562557e+00
  1.529595e-01    3.350389e+00
  1.600739e-01    3.488871e+00
  1.671883e-01    3.549385e+00
  1.743027e-01    3.480190e+00
  1.814171e-01    3.343282e+00
  1.885315e-01    3.268626e+00
  1.956459e-01    3.292125e+00
  2.027603e-01    3.168120e+00
  2.098747e-01    3.374110e+00
  2.169891e-01    3.536949e+00
  2.241034e-01    3.598213e+00
  2.312178e-01    3.768323e+00
  2.383322e-01    3.538291e+00
  2.454466e-01    3.390954e+00
  2.525610e-01    3.386998e+00
  2.596754e-01    3.303386e+00
  2.667898e-01    3.379030e+00
  2.739042e-01    3.509681e+00
  2.810186e-01    3.572783e+00
  2.881330e-01    3.497487e+00
  2.952474e-01    3.501004e+00
  3.023618e-01    3.544795e+00
  3.094762e-01    3.567444e+00
  3.165906e-01    3.618907e+00
  3.237050e-01    3.613822e+00
  3.308194e-01    3.571851e+00
  3.379338e-01    3.604632e+00
  3.450482e-01    3.567095e+00
  3.521626e-01    3.536138e+00
  3.592770e-01    3.455395e+00
  3.663914e-01    3.340483e+00
  3.735057e-01    3.400922e+00
  3.806201e-01    3.332429e+00
  3.877345e-01    3.242904e+00
  3.948489e-01    3.213303e+00
  4.019633e-01    3.196765e+00
  4.090777e-01    3.318456e+00
  4.161921e-01    3.371114e+00
  4.233065e-01    3.529706e+00
  4.304209e-01    3.672630e+00
  4.375353e-01    3.686593e+00
  4.446497e-01    3.637980e+00
  4.517641e-01    3.588958e+00
  4.588785e-01    3.487800e+00
  4.659929e-01    3.419617e+00
  4.731073e-01    3.477317e+00
  4.802217e-01    3.498088e+00
  4.873361e-01    3.530129e+00
  4.944505e-01    3.512562e+00
  5.015649e-01    3.633875e+00
  5.086793e-01    3.707555e+00
  5.157937e-01    3.694049e+00
  5.229080e-01    3.644281e+00
  5.300224e-01    3.574147e+00
  5.371368e-01    3.539064e+00
  5.442512e-01    3.442248e+00
  5.513656e-01    3.624226e+00
  5.584800e-01    3.692633e+00
  5.655944e-01    3.601492e+00
  5.727088e-01    3.533739e+00
  5.798232e-01    3.467803e+00
  5.869376e-01    3.559206e+00
  5.940520e-01    3.948830e+00
  6.011664e-01    4.328278e+00
  6.082808e-01    4.696771e+00
  6.153952e-01    5.382935e+00
  6.225096e-01    5.998998e+00
  6.296240e-01    6.802047e+00
  6.367384e-01    7.664685e+00
  6.438528e-01    9.199882e+00
  6.509672e-01    1.019689e+01
  6.580816e-01    1.133217e+01
  6.651960e-01    1.306052e+01
  6.723103e-01    1.430446e+01
  6.794247e-01    1.549814e+01
  6.865391e-01    1.754217e+01
  6.936535e-01    1.918147e+01
  7.007679e-01    2.022795e+01
  7.078823e-01    2.239330e+01
  7.149967e-01    2.407915e+01
  7.221111e-01    2.561468e+01
  7.292255e-01    2.861234e+01
  7.363399e-01    3.143298e+01
  7.434543e-01    3.289243e+01
  7.505687e-01    3.510932e+01
  7.576831e-01    3.751383e+01
  7.647975e-01    3.862325e+01
  7.719119e-01    4.136956e+01
  7.790263e-01    4.417200e+01
  7.861407e-01    4.611724e+01
  7.932551e-01    4.815329e+01
  8.003695e-01    5.094240e+01
  8.074839e-01    5.231343e+01
  8.145983e-01    5.416892e+01
  8.217126e-01    5.746909e+01
  8.288270e-01    5.876162e+01
  8.359414e-01    6.057779e+01
  8.430558e-01    6.348926e+01
  8.501702e-01    6.591662e+01
  8.572846e-01    6.748534e+01
  8.643990e-01    6.928232e+01
  8.715134e-01    7.139799e+01
  8.786278e-01    7.274886e+01
  8.857422e-01    7.543252e+01
  8.928566e-01    7.848455e+01
  8.999710e-01    7.961948e+01
  9.070854e-01    8.218481e+01
  9.141998e-01    8.561636e+01
  9.213142e-01    8.690121e+01
  9.284286e-01    8.926277e+01
  9.355430e-01    9.136960e+01
  9.426574e-01    9.299670e+01
  9.497718e-01    9.502045e+01
  9.568862e-01    9.817322e+01
  9.640006e-01    1.004006e+02
  9.711149e-01    1.019473e+02
  9.782293e-01    1.040275e+02
  9.853437e-01    1.053739e+02
  9.924581e-01    1.069389e+02
  9.995725e-01    1.099404e+02
  1.006687e+00    1.121081e+02
  1.013801e+00    1.139650e+02
  1.020916e+00    1.158679e+02
  1.028030e+00    1.176443e+02
  1.035145e+00    1.188863e+02
  1.042259e+00    1.205729e+02
  1.049373e+00    1.223422e+02
  1.056488e+00    1.234307e+02
  1.063602e+00    1.248672e+02
  1.070716e+00    1.270300e+02
  1.077831e+00    1.283820e+02
  1.084945e+00    1.301894e+02
  1.092060e+00    1.329859e+02
  1.099174e+00    1.347389e+02
  1.106288e+00    1.351646e+02
  1.113403e+00    1.375153e+02
  1.120517e+00    1.385953e+02
  1.127632e+00    1.393022e+02
  1.134746e+00    1.419957e+02
  1.141860e+00    1.436060e+02
  1.148975e+00    1.446907e+02
  1.156089e+00    1.466691e+02
  1.163204e+00    1.485550e+02
  1.170318e+00    1.486972e+02
  1.177432e+00    1.501175e+02
  1.184547e+00    1.522125e+02
  1.191661e+00    1.522794e+02
  1.198776e+00    1.548604e+02
  1.205890e+00    1.572208e+02
  1.213004e+00    1.577456e+02
  1.220119e+00    1.591259e+02
  1.227233e+00    1.601668e+02
  1.234348e+00    1.607986e+02
  1.241462e+00    1.616287e+02
  1.248576e+00    1.641664e+02
  1.255691e+00    1.654357e+02
  1.262805e+00    1.653131e+02
  1.269920e+00    1.670136e+02
  1.277034e+00    1.679592e+02
  1.284148e+00    1.686437e+02
  1.291263e+00    1.717834e+02
  1.298377e+00    1.731300e+02
  1.305492e+00    1.741967e+02
  1.312606e+00    1.753501e+02
  1.319720e+00    1.762142e+02
  1.326835e+00    1.761822e+02
  1.333949e+00    1.768980e+02
  1.341064e+00    1.786445e+02
  1.348178e+00    1.793134e+02
  1.355292e+00    1.808594e+02
  1.362407e+00    1.825658e+02
  1.369521e+00    1.826924e+02
  1.376635e+00    1.827050e+02
  1.383750e+00    1.839431e+02
  1.390864e+00    1.851670e+02
  1.397979e+00    1.859684e+02
  1.405093e+00    1.874831e+02
  1.412207e+00    1.888990e+02
  1.419322e+00    1.885097e+02
  1.426436e+00    1.903028e+02
  1.433551e+00    1.915637e+02
  1.440665e+00    1.914994e+02
  1.447779e+00    1.927459e+02
  1.454894e+00    1.939892e+02
  1.462008e+00    1.936581e+02
  1.469123e+00    1.947226e+02
  1.476237e+00    1.967889e+02
  1.483351e+00    1.976686e+02
  1.490466e+00    1.987665e+02
  1.497580e+00    2.003407e+02
  1.504695e+00    2.003751e+02
  1.511809e+00    1.999562e+02
  1.518923e+00    2.014895e+02
  1.526038e+00    2.021729e+02
  1.533152e+00    2.021547e+02
  1.540267e+00    2.042541e+02
  1.547381e+00    2.063708e+02
  1.554495e+00    2.060295e+02
  1.561610e+00    2.085950e+02
  1.568724e+00    2.100474e+02
  1.575839e+00    2.091979e+02
  1.582953e+00    2.104526e+02
  1.590067e+00    2.106631e+02
  1.597182e+00    2.095172e+02
  1.604296e+00    2.107018e+02
  1.611411e+00    2.123345e+02
  1.618525e+00    2.125456e+02
  1.625639e+00    2.135625e+02
  1.632754e+00    2.154053e+02
  1.639868e+00    2.158384e+02
  1.646982e+00    2.161595e+02
  1.654097e+00    2.180499e+02
  1.661211e+00    2.177859e+02
  1.668326e+00    2.175258e+02
  1.675440e+00    2.192819e+02
  1.682554e+00    2.189212e+02
  1.689669e+00    2.182318e+02
  1.696783e+00    2.202427e+02
  1.703898e+00    2.203636e+02
  1.711012e+00    2.199680e+02
  1.718126e+00    2.220117e+02
  1.725241e+00    2.228061e+02
